City,LAT,LON,Area,Type,Name,Artists,Address,City2,State,Zip,Year,Participant,desc1,desc2,url,partner,funder,LAT,LON
Louisville,38.2457085,-85.5213303,Artist Support,M.A.P (Mural Art Program),Middletown Kroger Mural,Carrie,12501 Shelbyville Rd,Louisville,Kentucky,,2016,1,placeholder,placeholder 194,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.2457085,-85.5213303
Louisville,38.2259752,-85.729991,Artist Support,M.A.P (Mural Art Program),Goss Kroger Mural,Josh Jenkins,1265 Goss Ave,Louisville,Kentucky,,2016,1,placeholder,placeholder 195,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.2259752,-85.729991
Louisville,38.2580706,-85.704409,Artist Support,M.A.P (Mural Art Program),Clifton Kroger Mural,Noah Church and Annette Cable,2200 Brownsboro Rd,Louisville,Kentucky,,2016,1,placeholder,placeholder 196,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.2580706,-85.704409
Louisville,38.223092,-85.68731992,Artist Support,M.A.P (Mural Art Program),Highlands Kroger Mural,Claire Hirn,2440 Bardstown Rd,Louisville,Kentucky,,2016,1,placeholder,placeholder 197,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.223092,-85.68731992
Elizabethtown,37.71421184,-85.83733054,Artist Support,M.A.P (Mural Art Program),Elizabethtown Kroger Mural,Annette Cable,3040 Dolphin Dr,Elizabethtown,Kentucky,42701,2016,1,placeholder,placeholder 198,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,37.71421184,-85.83733054
Clarksville,38.318153,-85.7546389,Artist Support,M.A.P (Mural Art Program),Clarksville Kroger Mural,Ashley Brossart,305 E Lewis And Clark Pkwy,Clarksville,Indiana,47129,2016,1,placeholder,placeholder 199,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.318153,-85.7546389
Louisville,38.2659599,-85.6666087,Artist Support,Artists Placement Program,Sotherby's,Ashely Brossart,3803 Brownsboro Rd,Louisville,Kentucky,40207,2016,99,placeholder,placeholder 200,http://www.louisvillevisualart.org/artist-support/,Community Partners,Community Parnters,38.2659599,-85.6666087
Louisville,38.1620579,-85.8340782,Artist Support,M.A.P (Mural Art Program),Dixie Highway Kroger Mural,,5244 Dixie Hwy,Louisville,Kentucky,40216,2016,1,placeholder,placeholder 201,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.1620579,-85.8340782
Louisville,38.3399963,-85.6216334,Artist Support,M.A.P (Mural Art Program),Prospect Kroger Mural,Ashley Brossart,5929 Timber Ridge Dr,Louisville,Kentucky,,2016,1,placeholder,placeholder 202,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.3399963,-85.6216334
Louisville,38.3053729,-85.57520917,Artist Support,M.A.P (Mural Art Program),Springhurst Kroger Mural,Claire Hirn,9440 Brownsboro Rd,Louisville,Kentucky,,2016,1,placeholder,placeholder 203,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.3053729,-85.57520917
Louisville,38.2884022,-85.57463924,Artist Support,M.A.P (Mural Art Program),Westport Kroger Mural,Tracy Pennington,9501 Westport Rd,Louisville,Kentucky,,2016,1,placeholder,placeholder 204,http://www.louisvillevisualart.org/kroger,Community Partners,Community Parnters,38.2884022,-85.57463924
Jeffersontown,38.1901037,-85.5584868,Community Outreach,Open Doors Residencies,J-Town CC - Summer Camp,Ehren Reed and Sunny Ra,10617 Taylorsville Rd,Jeffersontown,Kentucky,40299,2017,99,placeholder 110,placeholder 104,http://www.louisvillevisualart.org/open-doors-history/,Community Partners,J-Town CC,38.1901037,-85.5584868
Louisville,38.251832,-85.7305051,Community Outreach,Art for Kosair Kids,Photography Time Machine / Home of the Innocents,,1100 East Market St,Louisville,Kentucky,40206,2016,99,placeholder 111,placeholder 105,http://www.louisvillevisualart.org/visually-impaired-preschool,Home of the Innocents; Art for Kosair Kids,Home of the Innocents; Art for Kosair Kids,38.251832,-85.7305051
Louisville,38.251832,-85.7305051,Community Outreach,Art for Kosair Kids,Circle of Life Coloring Book / Home of the Innocents,,1100 East Market St,Louisville,Kentucky,40206,2016,99,placeholder 112,placeholder 106,http://www.louisvillevisualart.org/visually-impaired-preschool,Home of the Innocents; Art for Kosair Kids,Home of the Innocents; Art for Kosair Kids,38.251832,-85.7305051
Louisville,38.251832,-85.7305051,Community Outreach,Art for Kosair Kids,Community Mural / Home of the Innocents,,1100 East Market St,Louisville,Kentucky,40206,2016,99,placeholder 113,placeholder 107,http://www.louisvillevisualart.org/visually-impaired-preschool,Home of the Innocents; Art for Kosair Kids,Home of the Innocents; Art for Kosair Kids,38.251832,-85.7305051
Louisville,38.251832,-85.7305051,Community Outreach,Art for Kosair Kids,Art Therapy w/ Home of the Innocents and Art for Kosair Kids,,1100 East Market St,Louisville,Kentucky,40206,2016,99,placeholder 114,placeholder 108,http://www.louisvillevisualart.org/visually-impaired-preschool,Home of the Innocents; Art for Kosair Kids,Home of the Innocents; Art for Kosair Kids,38.251832,-85.7305051
Louisville,38.26832235,-85.54388825,Community Outreach,Open Doors Residencies,Uspirtus - Tech and Art Summer Camp,Lori Kelly,11103 Park Road,Louisville,Kentucky,40223,2017,99,placeholder 115,placeholder 109,http://www.louisvillevisualart.org/open-doors-history/,Community Partners,Uspirtus,38.26832235,-85.54388825
